batch,dot,zdot,div
52,2.02437045,3.867985706,1.989602006
53,1.942461082,0.4141348536,5.004234085
54,2.94223312,-0.5966754729,0.2928648931
55,2.075244101,2.643077948,1.293288368
56,1.166176604,2.275514468,1.613024456
57,2.477916063,1.501591625,3.67716201
58,0.3503687771,0.735125205,2.551107882
59,0.8274613554,3.597003925,1.591608911
60,1.757711095,0.304249718,3.601721777
61,1.350038608,1.168604011,1.603561996
62,3.059389982,2.945270985,0.6638361533
63,2.536401252,1.303229885,2.15661514
64,3.067614385,2.518703232,0.949337183
65,1.903010607,1.987130529,2.321403044
66,0.2446819889,1.562126777,3.346165514
67,1.944411053,2.549612592,3.121583908
68,1.433102771,1.424729321,1.176757823
69,-0.5867891015,1.52575387,1.533887098
70,2.345759893,1.5860952,2.754294366
71,1.862414662,4.743235626,1.012867972
72,3.41109664,0.5313468925,1.224414616
73,1.68134224,0.2831608924,2.585329366
74,2.47631094,1.142902987,2.489986721
75,-0.1865639909,2.122840019,3.898914239
76,2.042613962,3.056258959,4.715217472
77,1.425312191,3.529389405,1.516595227
78,3.183628755,0.02056372068,2.655330974
79,0.3143722337,1.625531314,0.4266875134
80,1.684196909,3.314077148,1.83797539
81,1.734489404,2.805203266,0.9550306772
82,2.267008325,2.690532603,2.735378217
83,1.839974062,2.780941454,1.336999894
84,1.902997372,2.047087278,3.259933271
85,2.024415314,0.852484055,2.334094007
86,0.01182810605,2.98807374,1.544616523
87,4.175031219,1.658907742,2.356638385
88,3.610120864,0.2086822287,0.7015318714
89,1.935355276,2.429201075,1.379768465
90,2.129771649,2.120385032,3.010725915
91,2.958823636,3.260871026,0.871481042
92,1.750922011,2.988996837,0.3212835951
93,2.132667997,3.086859637,1.911116325
94,1.725237304,1.962978173,2.099016181
95,2.265106986,0.7565781382,1.476321924
96,3.743983321,2.304900358,2.637294698
97,2.031619844,1.47402653,0.2691044502
98,-0.04874539683,1.860095204,0.5144213493
99,3.582805679,0.1148475957,1.787674444
100,1.041000176,1.254162571,2.560620136
101,1.471608501,-0.02621425871,1.69355094
102,2.789200614,3.014224189,2.143080327
103,3.097843766,2.381446864,2.407137269
104,1.284556516,2.806942714,2.416932928
105,2.361099856,-0.0999199842,2.463356531
106,1.316142907,1.570583542,1.395820874
107,-0.6912892781,-1.076538372,1.793689975
108,0.3936217344,2.708869199,2.016772913
109,1.753204432,1.291310385,2.847576433
110,1.695374912,-0.4564649517,1.498683344
111,2.67668643,-1.321909513,1.936182022
112,1.737131844,3.375136461,0.7616624114
113,2.52453154,3.550905292,1.380442261
114,1.558482694,1.932647233,2.239487037
115,0.5948766869,1.078143931,2.583813223
116,2.904904504,1.60140247,1.766366293
117,1.617287786,1.255907274,1.058333665
118,2.503696554,1.645718249,2.789879003
119,0.7149580067,4.04721604,0.4685637827
120,2.052221099,1.625010783,-0.2248078201
121,2.819641287,1.508019889,1.96895294
122,2.710099944,-0.1772637439,2.328962653
123,2.674665172,0.6430245288,3.085925094
124,1.447438489,1.606946769,2.027140749
125,-2.435879627,2.321677901,3.696782514
126,0.3554710878,1.136683914,2.269663818
127,1.403982843,2.909731121,0.4093200361
128,1.061685201,1.930086971,2.520204576
129,-0.383835352,2.78456007,0.8088954439
130,1.342809867,2.269964506,1.606839623
131,2.083449748,1.224290807,0.8062749377
132,1.501058526,4.190976725,2.405227151
133,1.111261083,1.115015481,2.366507812
134,2.941564304,5.316994211,2.073873967
135,2.148028798,0.2595438153,1.978908039
136,-0.5040880695,3.650460375,1.813290601
137,0.8871040794,1.117863594,0.9696201496
138,-0.06484685028,3.179617702,1.643331323
139,2.243837996,2.92161048,3.258969987
140,2.089457897,0.6002705706,-0.02573750023
141,0.5794477456,0.8506077096,1.925314644
142,2.830089121,1.90501788,1.121148945
143,0.6088778897,1.28761459,1.511212867
144,1.972737945,2.674852544,1.536660413
145,2.474405015,3.811648167,2.234169053
146,0.3091851898,1.813979119,0.765747095
147,1.170121378,1.93642638,2.513438573
148,1.680014867,1.405315096,1.386282686
149,1.95230464,2.779249856,2.0405019
150,3.277563283,0.6998452353,1.906983692
151,3.051100657,1.643238319,2.067205035
152,1.256431509,4.151380393,1.288153216
153,1.958602828,3.138943698,3.27536688
154,1.981568341,0.9522101823,1.609774546
155,2.038131101,-0.3737492326,2.230928712
156,1.832895606,2.938524625,3.486647182
157,3.043456395,0.8518268997,1.85319121
158,2.788676528,1.551679359,2.658226608
159,1.123131392,1.949939011,2.295721575
160,1.137812996,2.713170681,3.449330515
161,2.620876416,1.504555659,1.840756759
162,2.742694912,1.481564632,3.158113965
163,2.268449965,1.192172843,2.48288958
164,1.904612633,3.449381848,1.971105399
165,5.17273327,1.557494232,1.965510273
166,2.159802058,2.330020411,1.763238443
167,0.6299438233,1.815552828,1.207282022
168,3.604097415,2.101318798,2.8411723
169,1.3164768,4.703892743,0.8896301816
170,1.193953276,2.02665671,1.251628354
171,1.531151988,2.385869791,1.421171048
172,2.434498735,1.324582796,2.376955699
173,2.765683108,-0.2155036451,1.058925444
174,0.9291002119,0.2977797289,1.586580478
175,0.4277769772,3.465197959,2.553978152
176,2.895596536,1.313768382,2.091178786
177,0.4334737159,2.164506417,0.7810478912
178,2.672371111,1.22270332,1.1370793
179,0.5233969119,3.355501184,1.546739966
180,2.739446461,2.761780722,4.49310799
181,1.219897363,0.8552898849,2.981467568
182,2.603433888,3.241268629,2.117684571
183,2.389406549,1.852341146,1.465336611
184,1.589499496,0.9838397857,1.238129394
185,2.082963182,2.461872204,1.101617564
186,2.24906538,1.126441413,1.793714267
187,2.673507276,1.66091007,3.156292588
188,-0.2965506619,2.665662139,0.1578736981
189,1.768134479,4.040663379,2.984378267
190,1.436332361,1.517274537,2.55930712
191,-0.09459470278,1.539391919,0.1391583099
192,1.199289366,1.89086272,1.27075915
193,3.218507477,4.313769197,1.414964683
194,1.089270686,0.6080604178,2.186352727
195,2.790008978,1.863660871,1.617887836
196,3.549935984,1.88549234,-0.3911399711
